short_id,id,first_name,last_name,phone,languages,stage
65,a7d18aaf-fbac-43cb-ae64-b124af02c1dd,Test,User,+420700000999,en|ru,Виза
77,37e26c25-dc08-4299-83d9-88db4a39a391,ManagerRole,Test,+420700000101,pl,Контакт установлен
76,9d066d76-1d73-4b24-9496-c39db9c86a76,AdminRole,Test,+420700000100,ru,Контакт установлен
6,ca24dbf1-645b-46f8-bb96-bedd976bd2bb,Sam,Smith,+420720452391,pl,Документы получены
7,02f3b767-7c90-4ef6-b3d7-4a788365a9ea,Oleg,Petrov,+420788099847,pl,Отклонён
8,41b3a250-553a-4016-b050-66efcfd3bec2,Alex,Lee,+420757469186,,Заказ разрешения
10,94b87d72-c57b-4a43-8ecb-084028b9a192,Kate,Brown,+420723341925,,Готов к выезду
11,d0e37e06-9eea-47cf-872b-449c2e5678cc,Sam,Ivanov,+420771679311,,На базе клиента
23,2eafa580-8d27-4a82-8a2f-3e7ec8fc311d,Pavel,Johnson,+420718305692,uk,Планируем приезд
25,22f9f45b-267d-4519-a382-9cdab7cf4f20,Pavel,Novak,+420718460861,pl,Готов к выезду
26,25fff405-a1bf-483c-adb9-bea581760adb,Oleg,Lee,+420783835557,en,Виза
27,5f5b1d1d-00ac-40d7-9dc7-feb854d2981f,Max,Ivanov,+420725901354,,На базе клиента
28,2d2b085f-7f8a-4657-a688-2ffbe78b318c,Marta,Smith,+420786659240,,Трудоустроен
29,d480b9df-bb09-48b2-928e-92ed6442b4d3,Nina,Petrov,+420791681344,uk,Планируем приезд
30,00f39af2-ccf9-4d25-adac-195d9aeb0b75,Kate,Nowak,+420744245215,pl,Контакт установлен
31,802032a9-1410-4ed1-9a49-bc390956d478,Oleg,Brown,+420739763315,pl,Трудоустроен
32,9a19b214-1709-494e-af93-831ebf157e68,Pavel,Petrov,+420724499168,uk,Трудоустроен
33,9b39dd37-6412-4c44-af7b-9f7c1f115dd8,Alex,Ivanov,+420758034262,ru,Ожидаем документы
34,418c402b-7bd3-44b5-a0da-0b7b81846935,Ivan,Johnson,+420743373967,,Трудоустроен
35,5f9cdc0a-fd7e-4c42-acf2-7230aa35d8e3,Nina,Sidorov,+420755713007,ru,Отклонён
36,98d944ac-0a06-4339-9291-95dd6f52bcc5,Ivan,Nowak,+420799912635,,Красная бумага заказана
37,0981fd70-cc21-492e-a29a-b1ce5597e4d8,Sam,Sidorov,+420724340316,ru,Новый
38,e65d9973-c7d0-4fdc-bbe2-71bc72595f93,Ryan,Smith,+420759847863,pl,Виза
39,fd5d8236-916d-4dc9-ac70-836948bde923,Oleg,Smith,+420721799992,en,Виза
62,36519a2c-8990-42b2-be7c-96655eb60f77,Test,User,,,Красная бумага заказана
58,476a3ff2-5de4-44d5-9e6b-c8780f18c8aa,Max,Sidorov,+420714758916,ru,Ожидаем документы
59,d36c3724-4772-498e-aa6a-e8a22e982b12,Alex,Lee,+420716831853,ru,Заказ разрешения
60,dbe090cb-673e-432c-b73f-ddd387f45843,Ivan,Petrov,+420739224391,pl,Готов к выезду
